"brand_name","drug_product_description","spending_year","wac_year","wac_increase_amount","wac_after_increase","unit_sales_volume_us","total_spending_5_years","total_dosage_units_5_years","total_spending_per_year","total_dosage_units_per_year"
"1st Tier Unifine Pentips",NULL,2018,NULL,NULL,NULL,NULL,"597639.07","2720823","167193.78","761658"
"1st Tier Unifine Pentips",NULL,2019,NULL,NULL,NULL,NULL,"597639.07","2720823","139201.68","642471"
"1st Tier Unifine Pentips",NULL,2020,NULL,NULL,NULL,NULL,"597639.07","2720823","118923.24","547006"
"1st Tier Unifine Pentips",NULL,2021,NULL,NULL,NULL,NULL,"597639.07","2720823","102280.76","459384"
"1st Tier Unifine Pentips",NULL,2022,NULL,NULL,NULL,NULL,"597639.07","2720823","70039.61","310304"
"1st Tier Unifine Pentips Plus",NULL,2018,NULL,NULL,NULL,NULL,"1169180.29","5744198","369402.85","1813908"
"1st Tier Unifine Pentips Plus",NULL,2019,NULL,NULL,NULL,NULL,"1169180.29","5744198","343031.42","1830596"
"1st Tier Unifine Pentips Plus",NULL,2020,NULL,NULL,NULL,NULL,"1169180.29","5744198","210217.15","1046616"
"1st Tier Unifine Pentips Plus",NULL,2021,NULL,NULL,NULL,NULL,"1169180.29","5744198","131927.33","566872"
"1st Tier Unifine Pentips Plus",NULL,2022,NULL,NULL,NULL,NULL,"1169180.29","5744198","114601.54","486206"
"Abacavir",NULL,2018,NULL,NULL,NULL,NULL,"43953615.72","13849743","10653423.32","3034767"
"Abacavir",NULL,2019,NULL,NULL,NULL,NULL,"43953615.72","13849743","10119967.63","3318767"
"Abacavir",NULL,2020,NULL,NULL,NULL,NULL,"43953615.72","13849743","9198597.07","2960286"
"Abacavir",NULL,2021,NULL,NULL,NULL,NULL,"43953615.72","13849743","7036063.99","2500817"
"Abacavir",NULL,2022,NULL,NULL,NULL,NULL,"43953615.72","13849743","6945563.71","2035106"
"Abacavir-Lamivudine",NULL,2018,NULL,NULL,NULL,NULL,"64964422.24","5968469","15957795.55","1429260"
"Abacavir-Lamivudine",NULL,2019,NULL,NULL,NULL,NULL,"64964422.24","5968469","16480869.86","1448269"
"Abacavir-Lamivudine",NULL,2020,NULL,NULL,NULL,NULL,"64964422.24","5968469","11265372.88","996520"
"Abacavir-Lamivudine",NULL,2021,NULL,NULL,NULL,NULL,"64964422.24","5968469","9294117.32","1104102"
"Abacavir-Lamivudine",NULL,2022,NULL,NULL,NULL,NULL,"64964422.24","5968469","11966266.63","990318"
"Abacavir-Lamivudine-Zidovudine",NULL,2018,NULL,NULL,NULL,NULL,"14105892.55","662240","6955321.12","330735"
"Abacavir-Lamivudine-Zidovudine",NULL,2019,NULL,NULL,NULL,NULL,"14105892.55","662240","4849598.99","225020"
"Abacavir-Lamivudine-Zidovudine",NULL,2020,NULL,NULL,NULL,NULL,"14105892.55","662240","2085404.63","96333"
"Abacavir-Lamivudine-Zidovudine",NULL,2021,NULL,NULL,NULL,NULL,"14105892.55","662240","146795.20","7002"
"Abacavir-Lamivudine-Zidovudine",NULL,2022,NULL,NULL,NULL,NULL,"14105892.55","662240","68772.61","3150"
"Abelcet",NULL,2018,NULL,NULL,NULL,NULL,"2824052.13","497487","766166.41","101857"
"Abelcet",NULL,2019,NULL,NULL,NULL,NULL,"2824052.13","497487","618247.30","120570"
"Abelcet",NULL,2020,NULL,NULL,NULL,NULL,"2824052.13","497487","637913.66","124320"
"Abelcet",NULL,2021,NULL,NULL,NULL,NULL,"2824052.13","497487","504545.33","97200"
"Abelcet",NULL,2022,NULL,NULL,NULL,NULL,"2824052.13","497487","297179.43","53540"
"Abilify",NULL,2018,NULL,NULL,NULL,NULL,"116034257.20","3684998","31071646.36","950552"
"Abilify",NULL,2019,NULL,NULL,NULL,NULL,"116034257.20","3684998","26854630.75","808282"
