_id,top25type,payer_type,brand_generic,rank,national_drug_code,drug_name,numberofprescriptions,numberofindividuals,totalcost,costperprescription,outofpocketmedian
1,Cost,Commercial,Brand,1,00074055402,Humira Pen,69844,9429,447012138.90,6400.15,150.00
2,Cost,Commercial,Brand,2,61958250101,Biktarvy,93525,14113,431009228.90,4608.49,25.00
3,Cost,Commercial,Brand,3,57894006103,Stelara,18094,3400,373199013.40,20625.57,75.00
4,Cost,Commercial,Brand,4,00074433902,Humira Pen,49407,6666,271497766.30,5495.13,40.97
5,Cost,Commercial,Brand,5,58406003204,Enbrel SureClick,45644,6416,246833196.70,5407.79,124.50
6,Cost,Commercial,Brand,6,00078063941,Cosentyx Sensoready (300 MG),44191,6181,216841397.00,4906.91,75.00
7,Cost,Commercial,Brand,7,61958190101,Genvoya,31789,5252,168310970.20,5294.63,25.00
8,Cost,Commercial,Brand,8,61958200201,Descovy,76161,12088,167469425.00,2198.89,24.64
9,Cost,Commercial,Brand,9,55513013760,Otezla,44535,7335,160451914.30,3602.83,68.33
10,Cost,Commercial,Brand,10,00024591401,Dupixent,46969,5782,147721800.80,3145.09,119.75
11,Cost,Commercial,Brand,11,51167033101,Trikafta,5723,503,135975916.80,23759.55,80.00
12,Cost,Commercial,Brand,12,49702023113,Triumeq,27048,4022,123639310.90,4571.11,25.00
13,Cost,Commercial,Brand,13,00597015330,Jardiance,154622,34756,105665494.00,683.38,25.00
14,Cost,Commercial,Brand,14,61958210101,Odefsey,21437,3326,100882793.20,4706.01,23.71
15,Cost,Commercial,Brand,15,00310135030,Tagrisso,6364,794,95630537.50,15026.80,46.66
16,Cost,Commercial,Brand,16,00003089421,Eliquis,152917,29645,93901811.83,614.07,30.00
17,Cost,Commercial,Brand,17,00002143480,Trulicity,96618,16417,92697190.39,959.42,30.00
18,Cost,Commercial,Brand,18,58406002104,Enbrel,14685,2032,78455887.12,5342.59,50.00
19,Cost,Commercial,Brand,19,00002751001,HumaLOG,114587,27274,73943268.24,645.30,20.34
20,Cost,Commercial,Brand,20,00088221905,Lantus SoloStar,147115,33788,70520141.52,479.35,25.00
21,Cost,Commercial,Brand,21,00169413212,Ozempic (0.25 or 0.5 MG/DOSE),70310,17328,69725019.62,991.68,30.00
22,Cost,Commercial,Brand,22,00006027731,Januvia,115236,20508,69646656.29,604.38,28.57
23,Cost,Commercial,Brand,23,00069068803,Ibrance,5426,866,69068008.00,12729.08,35.00
24,Cost,Commercial,Brand,24,00074379902,Humira,12477,1735,66677814.49,5344.06,35.00
25,Cost,Commercial,Brand,25,57894064011,Tremfya,5801,1484,64348256.69,11092.61,83.33
26,Cost,Commercial,Brand or Generic,1,00074055402,Humira Pen,69844,9429,447012138.90,6400.15,150.00
27,Cost,Commercial,Brand or Generic,2,61958250101,Biktarvy,93525,14113,431009228.90,4608.49,25.00
28,Cost,Commercial,Brand or Generic,3,57894006103,Stelara,18094,3400,373199013.40,20625.57,75.00
29,Cost,Commercial,Brand or Generic,4,00074433902,Humira Pen,49407,6666,271497766.30,5495.13,40.97
30,Cost,Commercial,Brand or Generic,5,58406003204,Enbrel SureClick,45644,6416,246833196.70,5407.79,124.50
31,Cost,Commercial,Brand or Generic,6,00078063941,Cosentyx Sensoready (300 MG),44191,6181,216841397.00,4906.91,75.00
32,Cost,Commercial,Brand or Generic,7,61958190101,Genvoya,31789,5252,168310970.20,5294.63,25.00
33,Cost,Commercial,Brand or Generic,8,61958200201,Descovy,76161,12088,167469425.00,2198.89,24.64
34,Cost,Commercial,Brand or Generic,9,55513013760,Otezla,44535,7335,160451914.30,3602.83,68.33
35,Cost,Commercial,Brand or Generic,10,00024591401,Dupixent,46969,5782,147721800.80,3145.09,119.75
36,Cost,Commercial,Brand or Generic,11,51167033101,Trikafta,5723,503,135975916.80,23759.55,80.00
37,Cost,Commercial,Brand or Generic,12,49702023113,Triumeq,27048,4022,123639310.90,4571.11,25.00
38,Cost,Commercial,Brand or Generic,13,00597015330,Jardiance,154622,34756,105665494.00,683.38,25.00
39,Cost,Commercial,Brand or Generic,14,61958210101,Odefsey,21437,3326,100882793.20,4706.01,23.71
40,Cost,Commercial,Brand or Generic,15,00310135030,Tagrisso,6364,794,95630537.50,15026.80,46.66
41,Cost,Commercial,Brand or Generic,16,00003089421,Eliquis,152917,29645,93901811.83,614.07,30.00
42,Cost,Commercial,Brand or Generic,17,00002143480,Trulicity,96618,16417,92697190.39,959.42,30.00
43,Cost,Commercial,Brand or Generic,18,58406002104,Enbrel,14685,2032,78455887.12,5342.59,50.00
44,Cost,Commercial,Brand or Generic,19,00002751001,HumaLOG,114587,27274,73943268.24,645.30,20.34
45,Cost,Commercial,Brand or Generic,20,00088221905,Lantus SoloStar,147115,33788,70520141.52,479.35,25.00
46,Cost,Commercial,Brand or Generic,21,00169413212,Ozempic (0.25 or 0.5 MG/DOSE),70310,17328,69725019.62,991.68,30.00
47,Cost,Commercial,Brand or Generic,22,00006027731,Januvia,115236,20508,69646656.29,604.38,28.57
48,Cost,Commercial,Brand or Generic,23,00069068803,Ibrance,5426,866,69068008.00,12729.08,35.00
49,Cost,Commercial,Brand or Generic,24,00074379902,Humira,12477,1735,66677814.49,5344.06,35.00
50,Cost,Commercial,Brand or Generic,25,59267100001,Pfizer-BioNTech COVID-19 Vacc,1801828,1135179,65437060.46,36.32,0.00
51,Cost,Commercial,Generic,1,59267100001,Pfizer-BioNTech COVID-19 Vacc,1801828,1135179,65437060.46,36.32,0.00
52,Cost,Commercial,Generic,2,59267100002,Pfizer-BioNTech COVID-19 Vacc,1624279,1068762,58175777.28,35.82,0.00
53,Cost,Commercial,Generic,3,00074204202,Skyrizi (150 MG Dose),2675,1011,45552639.89,17029.02,116.67
54,Cost,Commercial,Generic,4,00093770456,Emtricitabine-Tenofovir DF,52656,23171,39572862.39,751.54,0.00
55,Cost,Commercial,Generic,5,80777027399,Moderna COVID-19 Vaccine,1120409,720489,37830749.84,33.77,0.00
56,Cost,Commercial,Generic,6,00093760756,Emtricitabine-Tenofovir DF,16423,11154,34240243.76,2084.90,0.00
57,Cost,Commercial,Generic,7,00378932132,Wixela Inhub,152148,53278,24311292.54,159.79,10.00
58,Cost,Commercial,Generic,8,80777027398,Moderna COVID-19 Vaccine,598827,499648,23179967.58,38.71,0.00
59,Cost,Commercial,Generic,9,53885027210,OneTouch Verio,538063,283762,20181902.19,37.51,1.09
60,Cost,Commercial,Generic,10,65862035430,Emtricitabine-Tenofovir DF,19003,5598,18994195.00,999.54,0.00
61,Cost,Commercial,Generic,11,00378932232,Wixela Inhub,90095,28502,18077076.58,200.64,8.33
62,Cost,Commercial,Generic,12,00378039991,Dimethyl Fumarate,3503,677,14029941.62,4005.12,15.00
63,Cost,Commercial,Generic,13,65162046935,EluRyng,67596,26180,13825030.43,204.52,0.00
