Brand Name,Generic Name,Number of Manufacturers,Year,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2021-2022),Annual Growth Rate in Average Spending Per Dosage Unit (2018-2022)
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,2018,167193.78,761658,6538,2341,0.22,25.57,71.42,0,0.0129,0.0069
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,2018,369402.85,1813908,14931,5674,0.2,24.74,65.1,0,0.0124,0.0372
Abacavir,Abacavir Sulfate,6,2018,10653423.32,3034767,40388,7359,4.03,263.78,1447.67,0,0.2146,-0.0101
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,4,2018,15957795.55,1429260,45575,8681,11.16,350.14,1838.24,1,0.429,0.019
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,2018,6955321.12,330735,5298,710,21.03,1312.82,9796.23,0,0.0414,0.0094
Abelcet,Amphotericin B Lipid Complex,1,2018,766166.41,101857,620,205,7.52,1235.75,3737.4,0,0.0693,-0.0732
Abilify,Aripiprazole,0,2018,31071646.36,950552,25660,4690,32.84,1210.9,6625.08,0,-0.2923,-0.0841
Abilify Maintena,Aripiprazole,1,2018,345893454.1,165452,164759,22935,2090.8,2099.39,15081.47,0,0.078,0.0512
Abiraterone Acetate,Abiraterone Acetate,18,2018,26623436.37,435123,3624,3328,61.15,7346.42,7999.83,0,0.0384,-0.1304
Abraxane,Paclitaxel Protein-Bound,1,2018,5675297.99,4441,828,236,1277.93,6854.22,24047.87,0,0.0612,0.0682
Absorica,Isotretinoin,1,2018,317230.79,8970,180,78,35.32,1762.39,4067.06,0,0.0368,0.0389
Acamprosate Calcium,Acamprosate Calcium,6,2018,5272879.18,5536265,34628,10706,0.95,152.27,492.52,0,0.0059,0.0063
Acanya,Clindamycin Phos/Benzoyl Perox,1,2018,146741.77,13850,254,143,10.6,577.72,1026.17,0,0.002,0.0102
Acarbose,Acarbose,4,2018,7782118.77,22122226,157399,42897,0.35,49.44,181.41,0,-0.0373,0.0039
Accolate,Zafirlukast,1,2018,335122.21,89645,951,166,3.74,352.39,2018.81,0,-0.0187,-0.001
Accupril,Quinapril HCl,1,2018,2823256.85,609380,7383,1640,4.63,382.4,1721.5,0,0.0192,0.0065
Accuretic,Quinapril/Hydrochlorothiazide,1,2018,354071.71,80439,932,229,4.4,379.91,1546.16,0,-0.0502,-0.0143
Acebutolol HCl,Acebutolol HCl,3,2018,2081450.61,6052585,63359,21865,0.34,32.85,95.2,0,0.0677,0.1341
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,2018,507947.64,203714,2277,1070,2.49,223.08,474.72,0,-0.0111,0.0282
Acetaminophen-Codeine,Acetaminophen With Codeine,9,2018,38181534.34,184505081,3347574,1535095,0.21,11.41,24.87,0,0.017,0.0852
Acetazolamide,Acetazolamide,13,2018,25178838.74,14881544,233605,86441,1.68,107.78,291.28,0,-0.0837,-0.1209
Acetazolamide ER,Acetazolamide,7,2018,9373543.55,4699925,82398,34240,1.99,113.76,273.76,0,0.02,-0.0873
Acetic Acid*,Acetic Acid,7,2018,1505691.5,48935842,71448,39139,0.92,21.07,38.47,0,-0.0687,0.0212
Acetylcysteine*,Acetylcysteine,7,2018,2092216.58,1994987,24093,6766,1.03,86.84,309.23,0,0.1265,0.0074
Aciphex,Rabeprazole Sodium,2,2018,22178234.16,1299928,18579,3781,17.06,1193.73,5865.71,0,0.1361,0.044
Acitretin,Acitretin,6,2018,24971062.75,1497337,40682,8659,16.8,613.81,2883.83,0,-0.0095,-0.0674
Actemra*,Tocilizumab,1,2018,130523440.2,185716,36098,5786,1015.82,3615.81,22558.49,0,-0.0237,0.0129
Acthar,Corticotropin,1,2018,724638118.9,90830,11907,2475,7977.96,60858.16,292783.08,0,0.0479,0.0268
Acthib,Haemoph B Poly Conj-Tet Tox/PF,1,2018,27574.35,816,786,704,33.8,35.08,39.17,1,-0.0042,0.0084
Actimmune,"Interferon Gamma-1b,Recomb.",1,2018,18992801.81,2118,337,53,8967.33,56358.46,358354.75,0,0.0091,0.039
Actonel,Risedronate Sodium,1,2018,3671232.33,36899,6597,1445,173.7,556.5,2540.65,0,0.0023,0.0043
Actoplus Met,Pioglitazone HCl/Metformin HCl,1,2018,461467.05,47787,556,113,9.66,829.98,4083.78,0,0.0313,0.0157
Actos,Pioglitazone HCl,1,2018,2784260.16,159372,2982,632,17.42,933.69,4405.47,0,0.0128,0.0092
Acular,Ketorolac Tromethamine,1,2018,89458.99,2401,383,216,37.26,233.57,414.16,0,-0.0786,0.0479
Acular Ls,Ketorolac Tromethamine,1,2018,55760.95,1170,183,87,47.66,304.7,640.93,1,0.068,0.0406
Acuvail,Ketorolac Tromethamine/PF,1,2018,350759.69,34304,774,343,10.23,453.18,1022.62,0,0.0247,0.0302
Acyclovir Sodium,Acyclovir Sodium,2,2018,77171.15,98256,340,111,0.81,226.97,695.24,0,1.3517,0.0076
Acyclovir*,Acyclovir,34,2018,47901753.84,121554262,1794381,674884,0.71,26.7,70.98,0,-0.2298,0.0952
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",1,2018,10979499.3,136138,191707,190954,80.81,57.27,57.5,0,0.0518,0.0088
Adapalene,Adapalene,10,2018,1222080.2,364294,7569,5094,3.35,161.46,239.91,0,1.2171,0.2332
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,8,2018,123672.95,27270,555,405,4.56,222.83,305.37,0,0.9344,-0.0399
Adcirca,Tadalafil,1,2018,266213540.1,3897888,64456,8975,68.3,4130.16,29661.68,0,0.0034,0.0089
Adderall,Dextroamphetamine/Amphetamine,1,2018,3853888.75,607546,8488,1551,6.34,454.04,2484.78,0,0.1169,0.0948
