Year,OSHPD ID,Manufacturer Name,Date Reported,NDC Number,Drug Product Description,WAC Effective Date,WAC Increase Amount,WAC After Increase,Patent Expiration Date,Drug Source Type,Unit Sales Volume in US,Unit Sales Volume Non-Public Indicator,Cost Increase Factors,Cost Increase Factors Non-Public Indicator,Change Improvement Description,Change Improvement Non-Public Indicator,Acquisition Date,Company Acquired From,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,WAC at Acquisition,WAC Year Prior to Acquisition,Year Drug Introduced to Market,WAC at Intro to Market,Supporting Documents,General Comments
2020,Rx0000138,"Merck & Co., Inc.",3/31/2020,6008062,JANUMET XR 50 mg-1000 mg Tablets 180,1/3/2020,66.6,1420.2,11/24/2026,Single Source Drug,,1,"Merck periodically increases the list price of our medicines, including those reported in Merck’s annual price increase report, to recognize the value they provide to patients, recoup the cost of inflation, adapt to changing market conditions and competitive considerations, and most importantly, to help fund research and development and bring forward new medicines. In addition to reflecting the steadily escalating cost of doing business, our price actions are critical to funding:
•capital investments in the U.S. of more than $5 billion in the last five years, with planned investment of $9 billion more in the U.S. over the next few years to increase manufacturing capacity and to open two new discovery research centers. 
•investments in research and development that last year alone totaled nearly $10 billion ($70 billion since 2010), focused on cancer and infectious diseases, as well as other major health challenges that affect large numbers of people. 
Merck does not maintain records that reflect how these factors were applied in the context of any particular product or price increase.",,"There is no specific change or improvement to the listed product that would “necessitate” a change in the product’s Wholesale Acquisition Cost.  Merck's goal is to set prices at levels that allow patients to access medicines prescribed for them, while allowing for sustained funding of research and development.",,,,,,,,,,,,"Merck’s submission to OSHPD is subject to the following assumptions and context:  (1) pursuant to California Senate Bill 17 and the laws it implements (including Cal. Health & Safety Code § 127677), the information provided is limited to information Merck believes is in the public domain, unless otherwise indicated; (2) the columns requiring information relating to product acquisition are left blank because the product was not acquired by Merck or not acquired by Merck in the previous five years."
2020,Rx0000138,"Merck & Co., Inc.",3/31/2020,6008082,JANUMET XR 50 mg-1000 mg Tablets 1000,1/3/2020,370,7890,11/24/2026,Single Source Drug,,1,"Merck periodically increases the list price of our medicines, including those reported in Merck’s annual price increase report, to recognize the value they provide to patients, recoup the cost of inflation, adapt to changing market conditions and competitive considerations, and most importantly, to help fund research and development and bring forward new medicines. In addition to reflecting the steadily escalating cost of doing business, our price actions are critical to funding:
•capital investments in the U.S. of more than $5 billion in the last five years, with planned investment of $9 billion more in the U.S. over the next few years to increase manufacturing capacity and to open two new discovery research centers. 
•investments in research and development that last year alone totaled nearly $10 billion ($70 billion since 2010), focused on cancer and infectious diseases, as well as other major health challenges that affect large numbers of people. 
Merck does not maintain records that reflect how these factors were applied in the context of any particular product or price increase.",,"There is no specific change or improvement to the listed product that would “necessitate” a change in the product’s Wholesale Acquisition Cost.  Merck's goal is to set prices at levels that allow patients to access medicines prescribed for them, while allowing for sustained funding of research and development.",,,,,,,,,,,,"Merck’s submission to OSHPD is subject to the following assumptions and context:  (1) pursuant to California Senate Bill 17 and the laws it implements (including Cal. Health & Safety Code § 127677), the information provided is limited to information Merck believes is in the public domain, unless otherwise indicated; (2) the columns requiring information relating to product acquisition are left blank because the product was not acquired by Merck or not acquired by Merck in the previous five years."
2020,Rx0000138,"Merck & Co., Inc.",3/31/2020,6008131,JANUMET XR 100 mg-1000 mg Tablets 30,1/3/2020,22.2,473.4,11/24/2026,Single Source Drug,,1,"Merck periodically increases the list price of our medicines, including those reported in Merck’s annual price increase report, to recognize the value they provide to patients, recoup the cost of inflation, adapt to changing market conditions and competitive considerations, and most importantly, to help fund research and development and bring forward new medicines. In addition to reflecting the steadily escalating cost of doing business, our price actions are critical to funding:
•capital investments in the U.S. of more than $5 billion in the last five years, with planned investment of $9 billion more in the U.S. over the next few years to increase manufacturing capacity and to open two new discovery research centers. 
•investments in research and development that last year alone totaled nearly $10 billion ($70 billion since 2010), focused on cancer and infectious diseases, as well as other major health challenges that affect large numbers of people. 
Merck does not maintain records that reflect how these factors were applied in the context of any particular product or price increase.",,"There is no specific change or improvement to the listed product that would “necessitate” a change in the product’s Wholesale Acquisition Cost.  Merck's goal is to set prices at levels that allow patients to access medicines prescribed for them, while allowing for sustained funding of research and development.",,,,,,,,,,,,"Merck’s submission to OSHPD is subject to the following assumptions and context:  (1) pursuant to California Senate Bill 17 and the laws it implements (including Cal. Health & Safety Code § 127677), the information provided is limited to information Merck believes is in the public domain, unless otherwise indicated; (2) the columns requiring information relating to product acquisition are left blank because the product was not acquired by Merck or not acquired by Merck in the previous five years."
2020,Rx0000138,"Merck & Co., Inc.",3/31/2020,6008154,JANUMET XR 100 mg-1000 mg Tablets 90,1/3/2020,66.6,1420.2,11/24/2026,Single Source Drug,,1,"Merck periodically increases the list price of our medicines, including those reported in Merck’s annual price increase report, to recognize the value they provide to patients, recoup the cost of inflation, adapt to changing market conditions and competitive considerations, and most importantly, to help fund research and development and bring forward new medicines. In addition to reflecting the steadily escalating cost of doing business, our price actions are critical to funding:
•capital investments in the U.S. of more than $5 billion in the last five years, with planned investment of $9 billion more in the U.S. over the next few years to increase manufacturing capacity and to open two new discovery research centers. 
•investments in research and development that last year alone totaled nearly $10 billion ($70 billion since 2010), focused on cancer and infectious diseases, as well as other major health challenges that affect large numbers of people. 
Merck does not maintain records that reflect how these factors were applied in the context of any particular product or price increase.",,"There is no specific change or improvement to the listed product that would “necessitate” a change in the product’s Wholesale Acquisition Cost.  Merck's goal is to set prices at levels that allow patients to access medicines prescribed for them, while allowing for sustained funding of research and development.",,,,,,,,,,,,"Merck’s submission to OSHPD is subject to the following assumptions and context:  (1) pursuant to California Senate Bill 17 and the laws it implements (including Cal. Health & Safety Code § 127677), the information provided is limited to information Merck believes is in the public domain, unless otherwise indicated; (2) the columns requiring information relating to product acquisition are left blank because the product was not acquired by Merck or not acquired by Merck in the previous five years."
2020,Rx0000114,Eli Lilly and Company,3/31/2020,2143380,TRULICITY™ 0.75 mg/0.5 mL carton of 4 single-dose pens,1/31/2020,37.9,797.3,12/27/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,"All information is provided by Eli Lilly and Company (""Lilly"") to the best of our knowledge at the time of submission.  Lilly provides this report consistent with its understanding and interpretation of California Health and Safety Code Chapter 9 §127675-127686 and its related provisions.  In providing this report, Lilly does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of California Health and Safety Code Chapter 9 §127675-127686 as it may relate to Lilly or any of its affiliates now or in the future.  Lilly, on behalf of itself and affiliates, expressly reserves all such rights.  The reported patent expiration information relates to only one or more compound patents covering TRULICITY™ and does not reflect pending possible patent extensions or patents, including pending patent applications, that may cover other aspects of TRULICITY™.  Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Lilly believes is otherwise in the public domain or publicly available. This product was not acquired within the last 5 years, therefore columns 14-21 are intentionally left blank."
2020,Rx0000114,Eli Lilly and Company,3/31/2020,2143480,TRULICITY™ 1.5 mg /0.5mL carton of 4 single-dose pens,1/31/2020,37.9,797.3,12/27/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,"All information is provided by Eli Lilly and Company (""Lilly"") to the best of our knowledge at the time of submission.  Lilly provides this report consistent with its understanding and interpretation of California Health and Safety Code Chapter 9 §127675-127686 and its related provisions.  In providing this report, Lilly does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of California Health and Safety Code Chapter 9 §127675-127686 as it may relate to Lilly or any of its affiliates now or in the future.  Lilly, on behalf of itself and affiliates, expressly reserves all such rights.  The reported patent expiration information relates to only one or more compound patents covering TRULICITY™ and does not reflect pending possible patent extensions or patents, including pending patent applications, that may cover other aspects of TRULICITY™.  Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Lilly believes is otherwise in the public domain or publicly available. This product was not acquired within the last 5 years, therefore columns 14-21 are intentionally left blank."
2020,Rx0000138,"Merck & Co., Inc.",3/31/2020,6007861,JANUMET XR 50 mg-500 mg Tablets 60,1/3/2020,22.2,473.4,11/24/2026,Single Source Drug,,1,"Merck periodically increases the list price of our medicines, including those reported in Merck’s annual price increase report, to recognize the value they provide to patients, recoup the cost of inflation, adapt to changing market conditions and competitive considerations, and most importantly, to help fund research and development and bring forward new medicines. In addition to reflecting the steadily escalating cost of doing business, our price actions are critical to funding:
•capital investments in the U.S. of more than $5 billion in the last five years, with planned investment of $9 billion more in the U.S. over the next few years to increase manufacturing capacity and to open two new discovery research centers. 
•investments in research and development that last year alone totaled nearly $10 billion ($70 billion since 2010), focused on cancer and infectious diseases, as well as other major health challenges that affect large numbers of people. 
Merck does not maintain records that reflect how these factors were applied in the context of any particular product or price increase.",,"There is no specific change or improvement to the listed product that would “necessitate” a change in the product’s Wholesale Acquisition Cost.  Merck's goal is to set prices at levels that allow patients to access medicines prescribed for them, while allowing for sustained funding of research and development.",,,,,,,,,,,,"Merck’s submission to OSHPD is subject to the following assumptions and context:  (1) pursuant to California Senate Bill 17 and the laws it implements (including Cal. Health & Safety Code § 127677), the information provided is limited to information Merck believes is in the public domain, unless otherwise indicated; (2) the columns requiring information relating to product acquisition are left blank because the product was not acquired by Merck or not acquired by Merck in the previous five years."
2020,Rx0000138,"Merck & Co., Inc.",3/31/2020,6007862,JANUMET XR 50 mg-500 mg Tablets 180,1/3/2020,66.6,1420.2,11/24/2026,Single Source Drug,,1,"Merck periodically increases the list price of our medicines, including those reported in Merck’s annual price increase report, to recognize the value they provide to patients, recoup the cost of inflation, adapt to changing market conditions and competitive considerations, and most importantly, to help fund research and development and bring forward new medicines. In addition to reflecting the steadily escalating cost of doing business, our price actions are critical to funding:
•capital investments in the U.S. of more than $5 billion in the last five years, with planned investment of $9 billion more in the U.S. over the next few years to increase manufacturing capacity and to open two new discovery research centers. 
•investments in research and development that last year alone totaled nearly $10 billion ($70 billion since 2010), focused on cancer and infectious diseases, as well as other major health challenges that affect large numbers of people. 
Merck does not maintain records that reflect how these factors were applied in the context of any particular product or price increase.",,"There is no specific change or improvement to the listed product that would “necessitate” a change in the product’s Wholesale Acquisition Cost.  Merck's goal is to set prices at levels that allow patients to access medicines prescribed for them, while allowing for sustained funding of research and development.",,,,,,,,,,,,"Merck’s submission to OSHPD is subject to the following assumptions and context:  (1) pursuant to California Senate Bill 17 and the laws it implements (including Cal. Health & Safety Code § 127677), the information provided is limited to information Merck believes is in the public domain, unless otherwise indicated; (2 )the columns requiring information relating to product acquisition are left blank because the product was not acquired by Merck or not acquired by Merck in the previous five years."
2020,Rx0000138,"Merck & Co., Inc.",3/31/2020,6007882,JANUMET XR 50 mg-500 mg Tablets 1000,1/3/2020,370,7890,11/24/2026,Single Source Drug,,1,"Merck periodically increases the list price of our medicines, including those reported in Merck’s annual price increase report, to recognize the value they provide to patients, recoup the cost of inflation, adapt to changing market conditions and competitive considerations, and most importantly, to help fund research and development and bring forward new medicines. In addition to reflecting the steadily escalating cost of doing business, our price actions are critical to funding:
•capital investments in the U.S. of more than $5 billion in the last five years, with planned investment of $9 billion more in the U.S. over the next few years to increase manufacturing capacity and to open two new discovery research centers. 
•investments in research and development that last year alone totaled nearly $10 billion ($70 billion since 2010), focused on cancer and infectious diseases, as well as other major health challenges that affect large numbers of people. 
Merck does not maintain records that reflect how these factors were applied in the context of any particular product or price increase.",,"There is no specific change or improvement to the listed product that would “necessitate” a change in the product’s Wholesale Acquisition Cost.  Merck's goal is to set prices at levels that allow patients to access medicines prescribed for them, while allowing for sustained funding of research and development.",,,,,,,,,,,,"Merck’s submission to OSHPD is subject to the following assumptions and context:  (1) pursuant to California Senate Bill 17 and the laws it implements (including Cal. Health & Safety Code § 127677), the information provided is limited to information Merck believes is in the public domain, unless otherwise indicated; (2) the columns requiring information relating to product acquisition are left blank because the product was not acquired by Merck or not acquired by Merck in the previous five years."
2020,Rx0000138,"Merck & Co., Inc.",3/31/2020,6008061,JANUMET XR 50 mg-1000 mg Tablets 60,1/3/2020,22.2,473.4,11/24/2026,Single Source Drug,,1,"Merck periodically increases the list price of our medicines, including those reported in Merck’s annual price increase report, to recognize the value they provide to patients, recoup the cost of inflation, adapt to changing market conditions and competitive considerations, and most importantly, to help fund research and development and bring forward new medicines. In addition to reflecting the steadily escalating cost of doing business, our price actions are critical to funding:
•capital investments in the U.S. of more than $5 billion in the last five years, with planned investment of $9 billion more in the U.S. over the next few years to increase manufacturing capacity and to open two new discovery research centers. 
•investments in research and development that last year alone totaled nearly $10 billion ($70 billion since 2010), focused on cancer and infectious diseases, as well as other major health challenges that affect large numbers of people. 
Merck does not maintain records that reflect how these factors were applied in the context of any particular product or price increase.",,"There is no specific change or improvement to the listed product that would “necessitate” a change in the product’s Wholesale Acquisition Cost.  Merck's goal is to set prices at levels that allow patients to access medicines prescribed for them, while allowing for sustained funding of research and development.",,,,,,,,,,,,"Merck’s submission to OSHPD is subject to the following assumptions and context:  (1) pursuant to California Senate Bill 17 and the laws it implements (including Cal. Health & Safety Code § 127677), the information provided is limited to information Merck believes is in the public domain, unless otherwise indicated; (2) the columns requiring information relating to product acquisition are left blank because the product was not acquired by Merck or not acquired by Merck in the previous five years."
